Unnamed: 0,slang_words,Tokens
0,lalu,['lalu']
1,ada,['ada']
2,raka,['raka']
3,menjadi,['menjadi']
4,gubernur,['gubernur']
5,timur,['timur']
6,beberapa,['beberapa']
7,bulan,['bulan']
8,lalu,['lalu']
9,saat,['saat']
10,pindah,['pindah']
11,dari,['dari']
12,masuk,['masuk']
13,ke,['ke']
14,pa,['pa']
15,menambahkan,['menambahkan']
16,selain,['selain']
17,putra,['putra']
18,pres,['pres']
19,belum,['belum']
20,jelas,['jelas']
21,sih,['sih']
22,berita,['berita']
23,kalau,['kalau']
24,mas,['mas']
25,kabar,['kabar']
26,gabung,['gabung']
27,jalan,['jalan']
28,gatot,['gatot']
29,di,['di']
30,kota,['kota']
31,solo,['solo']
32,banjir,['banjir']
