,Unnamed: 0.1,Unnamed: 0,slang_words,Tokens,Tokens_Tanpa_Stopwords,Stem
0,0,0,lalu,['lalu'],"['l', 'a', 'l', 'u']","['', '', '', '', '', '', '', '', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'l', '', '', '', '', 'u', '', '', '', '', '', '', '', '', '', '', '', '']"
1,1,1,ada,['ada'],"['a', 'd', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'a', '', '', '', '', 'd', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
2,2,2,raka,['raka'],"['r', 'a', 'k', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'r', '', '', '', '', 'a', '', '', '', '', 'k', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
3,3,3,menjadi,['menjadi'],"['m', 'e', 'n', 'j', 'a', 'd', 'i']","['', '', '', '', '', '', '', '', '', '', '', '', 'm', '', '', '', '', 'e', '', '', '', '', 'n', '', '', '', '', 'j', '', '', '', '', 'a', '', '', '', '', 'd', '', '', '', '', 'i', '', '', '', '', '', '', '', '', '', '', '', '']"
4,4,4,gubernur,['gubernur'],"['g', 'u', 'b', 'e', 'r', 'n', 'u', 'r']","['', '', '', '', '', '', '', '', '', '', '', '', 'g', '', '', '', '', 'u', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'r', '', '', '', '', 'n', '', '', '', '', 'u', '', '', '', '', 'r', '', '', '', '', '', '', '', '', '', '', '', '']"
5,5,5,timur,['timur'],"['t', 'i', 'm', 'u', 'r']","['', '', '', '', '', '', '', '', '', '', '', '', 't', '', '', '', '', 'i', '', '', '', '', 'm', '', '', '', '', 'u', '', '', '', '', 'r', '', '', '', '', '', '', '', '', '', '', '', '']"
6,6,6,beberapa,['beberapa'],"['b', 'e', 'b', 'e', 'r', 'a', 'p', 'a']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'b', '', '', '', '', 'e', '', '', '', '', 'r', '', '', '', '', 'a', '', '', '', '', 'p', '', '', '', '', 'a', '', '', '', '', '', '', '', '', '', '', '', '']"
7,7,7,bulan,['bulan'],"['b', 'u', 'l', 'a', 'n']","['', '', '', '', '', '', '', '', '', '', '', '', 'b', '', '', '', '', 'u', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'n', '', '', '', '', '', '', '', '', '', '', '', '']"
8,8,8,lalu,['lalu'],"['l', 'a', 'l', 'u']","['', '', '', '', '', '', '', '', '', '', '', '', 'l', '', '', '', '', 'a', '', '', '', '', 'l', '', '', '', '', 'u', '', '', '', '', '', '', '', '', '', '', '', '']"
9,9,9,saat,['saat'],"['s', 'a', 'a', 't']","['', '', '', '', '', '', '', '', '', '', '', '', 's', '', '', '', '', 'a', '', '', '', '', 'a', '', '', '', '', 't', '', '', '', '', '', '', '', '', '', '', '', '']"
